0.000000000000000000e+00 1.000029998022904598e+00 1.000238537387082793e+00 3.814665671141477532e-04 9.652549738363182445e-06 9.994053354557407287e-01
1.010101010101010187e-02 1.000052497145356600e+00 1.000268467528363958e+00 3.664289787307234425e-04 9.472473132897374541e-06 9.994044829034945954e-01
2.020202020202020374e-02 1.000075114152414901e+00 1.000298161262625385e+00 3.513796954852134447e-04 9.283778691264125887e-06 9.994045497804522338e-01
3.030303030303030387e-02 1.000097876580385403e+00 1.000327564322806673e+00 3.363537623351665201e-04 9.082228361760067984e-06 9.994065194431323018e-01
4.040404040404040747e-02 1.000120794399278701e+00 1.000356594097528973e+00 3.214150724783915863e-04 8.863780749714347031e-06 9.994116981890778240e-01
5.050505050505051108e-02 1.000143851436871678e+00 1.000385131469043287e+00 3.066650569063644055e-04 8.623980788570390413e-06 9.994217546568092692e-01
6.060606060606060774e-02 1.000166994352859939e+00 1.000413011185894652e+00 2.922521379917913942e-04 8.356936471368493462e-06 9.994387385745242547e-01
7.070707070707071829e-02 1.000190118871626677e+00 1.000440010941974656e+00 2.783812012173599026e-04 8.053774998895068204e-06 9.994650601232977216e-01
8.080808080808081495e-02 1.000213053199904500e+00 1.000465839704610449e+00 2.653217627329815947e-04 7.700495001183762294e-06 9.995034028343987575e-01
9.090909090909091161e-02 1.000235538997082285e+00 1.000490126461493379e+00 2.534127034627582653e-04 7.275278310866993198e-06 9.995565331276043963e-01
1.010101010101010222e-01 1.000257211062962615e+00 1.000512411568333704e+00 2.430603813008413994e-04 6.745848374075469996e-06 9.996269596404940838e-01
1.111111111111111188e-01 1.000277578248803145e+00 1.000532144452467076e+00 2.347256539042066881e-04 6.068861505780141110e-06 9.997163884685328350e-01
1.212121212121212155e-01 1.000296010242488931e+00 1.000548693791989852e+00 2.288939924593811487e-04 5.196202722593263394e-06 9.998249225532643836e-01
1.313131313131313260e-01 1.000311738167817932e+00 1.000561379713977850e+00 2.260218093847292387e-04 4.097215639673250592e-06 9.999499766261883416e-01
1.414141414141414366e-01 1.000323881764221490e+00 1.000569542252948141e+00 2.264521423900479197e-04 2.807004628878513173e-06 1.000000000000000000e+00
1.515151515151515194e-01 1.000331522545105489e+00 1.000572666065790539e+00 2.302954816802930266e-04 1.500546184116914371e-06 1.000000000000000000e+00
1.616161616161616299e-01 1.000333850154373039e+00 1.000570586206782853e+00 2.372797480738979281e-04 5.328645968628027065e-07 1.000000000000000000e+00
1.717171717171717404e-01 1.000330413755726955e+00 1.000563795134697065e+00 2.465927582730904899e-04 3.110619988848662850e-07 1.000000000000000000e+00
1.818181818181818232e-01 1.000321493168659703e+00 1.000553826468953966e+00 2.567816648251890210e-04 9.049067901748304297e-07 1.000000000000000000e+00
1.919191919191919338e-01 1.000308499059046285e+00 1.000543505931725363e+00 2.658615201687111046e-04 1.886799518842391239e-06 1.000000000000000000e+00
2.020202020202020443e-01 1.000293915506600850e+00 1.000536251879911465e+00 2.719911423169213416e-04 3.125689661917368095e-06 1.000000000000000000e+00
2.121212121212121271e-01 1.000279247684678685e+00 1.000532139064386872e+00 2.755303844813646735e-04 3.179651668204788674e-06 1.000000000000000000e+00
2.222222222222222376e-01 1.000259266239027722e+00 1.000518592301555154e+00 2.825530361375856031e-04 1.887688974309229293e-05 1.000000000000000000e+00
2.323232323232323482e-01 1.000233548936984906e+00 1.000487146781630310e+00 2.869610518224478823e-04 1.622971964705953213e-04 9.989161442331360163e-01
2.424242424242424310e-01 1.000363588865289532e+00 1.000667086812976558e+00 9.507565672102306908e-05 8.232050917401454045e-05 9.833363017885906610e-01
2.525252525252525415e-01 9.998650013696348537e-01 1.000005270582701167e+00 6.506246881380108038e-04 1.127845810991723850e-04 1.000000000000000000e+00
2.626262626262626521e-01 9.868199827853151307e-01 9.818529296199065559e-01 1.613355428888942067e-02 9.588184945222926435e-04 1.000000000000000000e+00
2.727272727272727626e-01 9.579472348499451506e-01 9.418985037653282433e-01 5.101950036996386051e-02 1.056294282340345054e-03 1.000000000000000000e+00
2.828282828282828731e-01 9.265952965881433245e-01 8.990011001505844312e-01 8.992214779112517320e-02 3.104559419261172445e-04 1.000000000000000000e+00
2.929292929292929282e-01 8.954844743508345584e-01 8.570190179258676544e-01 1.295784132022322899e-01 9.561863429736425788e-05 1.000000000000000000e+00
3.030303030303030387e-01 8.646413950612428234e-01 8.159905392533201018e-01 1.699821467727054836e-01 5.024704585942895422e-05 1.000000000000000000e+00
3.131313131313131493e-01 8.342938055689033128e-01 7.761908433350531711e-01 2.108787819663175966e-01 6.257230897098702959e-05 1.000000000000000000e+00
3.232323232323232598e-01 8.046710743013425482e-01 7.378905391806785952e-01 2.519686401970027134e-01 8.450488827443027756e-05 1.000000000000000000e+00
3.333333333333333703e-01 7.758581677802193211e-01 7.011698686771290490e-01 2.931157661417407856e-01 1.247042148357052735e-04 1.000000000000000000e+00
3.434343434343434809e-01 7.478344639808636174e-01 6.659735059830796944e-01 3.343291965091083617e-01 1.277772242142597413e-04 1.000000000000000000e+00
3.535353535353535914e-01 7.205642417203346195e-01 6.322274958858813410e-01 3.756488133349445424e-01 6.349872751332092898e-05 1.000000000000000000e+00
3.636363636363636465e-01 6.940538099064259558e-01 5.999089081583990346e-01 4.170530414393957552e-01 5.880449027061080104e-06 1.000000000000000000e+00
3.737373737373737570e-01 6.683543838263581449e-01 5.690462019695958773e-01 4.584371614636523762e-01 9.556972715586956095e-06 1.000000000000000000e+00
